Order ID,Order Date,Segment,Region,Category,Sub Category,Ship Mode,Customer Name,Sales,Quantity,Discount,Profit
CA-100000,2024-07-07,Consumer,Central,Office Supplies,Paper,First Class,Customer 215,1597.16,8,0.2,143.74
CA-100001,2024-12-25,Home Office,East,Office Supplies,Binders,Second Class,Customer 344,929.31,4,0.0,139.4
CA-100002,2024-06-09,Corporate,East,Furniture,Chairs,Same Day,Customer 345,440.43,5,0.3,26.43
CA-100003,2024-12-29,Home Office,South,Technology,Copiers,Standard Class,Customer 131,1059.05,3,0.2,95.31
CA-100004,2024-06-15,Corporate,South,Technology,Phones,Same Day,Customer 14,1222.94,9,0.0,183.44
CA-100005,2024-12-05,Home Office,South,Furniture,Bookcases,Same Day,Customer 264,783.12,5,0.1,93.97
CA-100006,2024-02-19,Corporate,East,Office Supplies,Paper,Second Class,Customer 106,363.26,4,0.0,54.49
CA-100007,2024-07-20,Corporate,South,Furniture,Tables,First Class,Customer 304,82.0,2,0.1,9.84
CA-100008,2024-07-08,Consumer,South,Office Supplies,Binders,Second Class,Customer 367,195.22,9,0.2,17.57
CA-100009,2024-06-05,Home Office,West,Technology,Phones,Standard Class,Customer 327,1181.77,9,0.0,177.27
CA-100010,2024-03-03,Home Office,Central,Technology,Phones,Same Day,Customer 163,1549.04,8,0.3,92.94
CA-100011,2024-02-10,Home Office,West,Office Supplies,Art,Same Day,Customer 418,1547.12,7,0.0,232.07
CA-100012,2024-10-19,Home Office,South,Technology,Copiers,Second Class,Customer 475,145.85,8,0.2,13.13
CA-100013,2024-09-13,Consumer,East,Office Supplies,Storage,First Class,Customer 398,954.99,3,0.0,143.25
CA-100014,2024-03-03,Home Office,West,Office Supplies,Art,Standard Class,Customer 96,100.06,3,0.2,9.01
CA-100015,2024-01-13,Home Office,Central,Furniture,Bookcases,Second Class,Customer 284,295.88,4,0.2,26.63
CA-100016,2024-05-13,Corporate,East,Furniture,Bookcases,Same Day,Customer 348,1256.22,9,0.1,150.75
CA-100017,2024-10-09,Corporate,West,Technology,Copiers,Standard Class,Customer 233,649.65,1,0.0,97.45
CA-100018,2024-11-13,Consumer,West,Office Supplies,Storage,Second Class,Customer 172,33.77,9,0.3,2.03
CA-100019,2024-08-20,Consumer,East,Office Supplies,Binders,Second Class,Customer 52,353.22,8,0.3,21.19
CA-100020,2024-04-10,Consumer,South,Furniture,Chairs,First Class,Customer 113,1398.68,1,0.2,125.88
CA-100021,2024-08-11,Consumer,West,Furniture,Bookcases,Second Class,Customer 130,1015.3,7,0.1,121.84
CA-100022,2024-09-03,Home Office,Central,Technology,Copiers,First Class,Customer 401,989.12,6,0.3,59.35
CA-100023,2024-04-07,Corporate,East,Office Supplies,Storage,First Class,Customer 240,1610.22,4,0.0,241.53
CA-100024,2024-12-14,Home Office,South,Technology,Copiers,First Class,Customer 420,318.42,6,0.2,28.66
CA-100025,2024-05-27,Home Office,South,Office Supplies,Binders,Standard Class,Customer 424,1428.08,3,0.2,128.53
CA-100026,2024-05-30,Home Office,East,Office Supplies,Paper,First Class,Customer 263,1874.73,9,0.0,281.21
CA-100027,2024-01-02,Consumer,South,Furniture,Tables,Same Day,Customer 453,1964.69,1,0.3,117.88
CA-100028,2024-08-20,Home Office,Central,Technology,Copiers,Same Day,Customer 131,1767.62,9,0.2,159.09
CA-100029,2024-03-15,Consumer,South,Furniture,Furnishings,Second Class,Customer 104,1564.15,4,0.3,93.85
CA-100030,2024-04-08,Consumer,West,Furniture,Tables,Same Day,Customer 366,38.21,9,0.1,4.59
CA-100031,2024-06-09,Consumer,East,Furniture,Chairs,Same Day,Customer 404,981.52,9,0.2,88.34
CA-100032,2024-06-24,Home Office,Central,Office Supplies,Paper,First Class,Customer 22,1447.46,1,0.3,86.85
CA-100033,2024-09-20,Home Office,Central,Furniture,Tables,Standard Class,Customer 286,1187.94,3,0.1,142.55
CA-100034,2024-11-12,Home Office,South,Technology,Machines,Same Day,Customer 49,1162.27,1,0.3,69.74
CA-100035,2024-01-06,Home Office,South,Technology,Phones,Standard Class,Customer 280,1989.21,5,0.1,238.71
CA-100036,2024-07-06,Consumer,South,Technology,Machines,Standard Class,Customer 469,867.8,3,0.0,130.17
CA-100037,2024-10-07,Corporate,Central,Office Supplies,Paper,Second Class,Customer 323,551.58,2,0.2,49.64
CA-100038,2024-05-30,Corporate,Central,Furniture,Bookcases,Second Class,Customer 386,212.41,6,0.3,12.74
CA-100039,2024-10-25,Corporate,South,Furniture,Bookcases,Standard Class,Customer 170,1486.72,9,0.0,223.01
CA-100040,2024-01-13,Corporate,Central,Office Supplies,Binders,Same Day,Customer 173,851.17,9,0.1,102.14
CA-100041,2024-05-22,Corporate,East,Technology,Copiers,First Class,Customer 447,160.46,3,0.1,19.26
CA-100042,2024-11-09,Corporate,East,Furniture,Chairs,Same Day,Customer 170,669.74,6,0.1,80.37
CA-100043,2024-09-20,Consumer,South,Furniture,Furnishings,Same Day,Customer 5,620.47,5,0.2,55.84
CA-100044,2024-12-15,Home Office,Central,Office Supplies,Storage,Same Day,Customer 308,188.99,4,0.0,28.35
CA-100045,2024-05-24,Home Office,Central,Technology,Copiers,Second Class,Customer 439,1939.68,3,0.1,232.76
CA-100046,2024-05-06,Consumer,South,Furniture,Chairs,Standard Class,Customer 58,70.19,7,0.0,10.53
CA-100047,2024-02-17,Consumer,South,Furniture,Chairs,Standard Class,Customer 385,329.75,6,0.1,39.57
CA-100048,2024-10-04,Consumer,Central,Technology,Machines,Same Day,Customer 154,1481.04,5,0.2,133.29
CA-100049,2024-02-16,Consumer,East,Office Supplies,Paper,Second Class,Customer 453,1520.54,5,0.0,228.08
CA-100050,2024-04-09,Consumer,East,Furniture,Tables,Standard Class,Customer 23,1531.46,7,0.0,229.72
CA-100051,2024-10-16,Home Office,East,Furniture,Tables,First Class,Customer 442,1239.38,4,0.0,185.91
CA-100052,2024-01-16,Home Office,East,Technology,Phones,Same Day,Customer 384,1087.97,4,0.0,163.2
CA-100053,2024-06-11,Consumer,West,Office Supplies,Binders,First Class,Customer 427,1605.88,2,0.3,96.35
CA-100054,2024-06-16,Corporate,Central,Technology,Copiers,Standard Class,Customer 397,1259.36,1,0.0,188.9
CA-100055,2024-08-29,Home Office,Central,Office Supplies,Binders,Second Class,Customer 264,766.97,3,0.0,115.05
CA-100056,2024-04-24,Consumer,Central,Technology,Copiers,Second Class,Customer 114,1692.85,2,0.1,203.14
CA-100057,2024-08-04,Consumer,West,Technology,Phones,Same Day,Customer 394,1874.56,4,0.3,112.47
CA-100058,2024-06-25,Home Office,South,Technology,Copiers,Second Class,Customer 497,1506.22,3,0.3,90.37
CA-100059,2024-09-24,Consumer,Central,Office Supplies,Binders,First Class,Customer 217,1169.48,5,0.2,105.25
CA-100060,2024-03-02,Consumer,East,Office Supplies,Binders,First Class,Customer 19,224.19,1,0.0,33.63
CA-100061,2024-03-16,Consumer,Central,Technology,Copiers,Second Class,Customer 223,125.9,9,0.0,18.89
CA-100062,2024-03-09,Home Office,South,Office Supplies,Binders,Same Day,Customer 379,996.19,5,0.3,59.77
CA-100063,2024-02-08,Consumer,West,Technology,Accessories,Second Class,Customer 423,1509.7,9,0.2,135.87
CA-100064,2024-08-02,Consumer,Central,Furniture,Bookcases,Second Class,Customer 239,1108.07,3,0.0,166.21
CA-100065,2024-09-09,Corporate,Central,Technology,Accessories,Standard Class,Customer 168,1527.79,1,0.3,91.67
CA-100066,2024-01-05,Consumer,West,Furniture,Tables,First Class,Customer 136,805.37,2,0.2,72.48
CA-100067,2024-11-22,Consumer,West,Technology,Copiers,Same Day,Customer 70,753.87,1,0.3,45.23
CA-100068,2024-06-15,Home Office,East,Office Supplies,Paper,First Class,Customer 39,973.7,6,0.3,58.42
CA-100069,2024-08-07,Corporate,East,Furniture,Furnishings,Same Day,Customer 456,995.4,2,0.0,149.31
CA-100070,2024-12-13,Corporate,West,Technology,Machines,Same Day,Customer 369,1649.12,1,0.2,148.42
CA-100071,2024-05-13,Corporate,South,Technology,Phones,Same Day,Customer 173,1739.83,5,0.1,208.78
CA-100072,2024-07-31,Home Office,South,Technology,Phones,Same Day,Customer 227,658.92,6,0.3,39.54
CA-100073,2024-10-31,Corporate,Central,Office Supplies,Storage,Standard Class,Customer 373,1939.22,9,0.1,232.71
CA-100074,2024-01-12,Corporate,South,Furniture,Furnishings,Same Day,Customer 358,1176.94,7,0.3,70.62
CA-100075,2024-03-30,Corporate,South,Technology,Accessories,Same Day,Customer 220,569.21,4,0.3,34.15
CA-100076,2024-05-24,Consumer,West,Technology,Phones,Same Day,Customer 461,1949.3,6,0.3,116.96
CA-100077,2024-03-22,Home Office,South,Technology,Phones,First Class,Customer 409,283.71,6,0.2,25.53
CA-100078,2024-09-07,Consumer,West,Furniture,Bookcases,Same Day,Customer 289,183.84,2,0.1,22.06
CA-100079,2024-09-23,Consumer,East,Furniture,Bookcases,Standard Class,Customer 342,1624.9,1,0.3,97.49
CA-100080,2024-04-07,Consumer,Central,Office Supplies,Storage,Standard Class,Customer 405,1687.4,1,0.0,253.11
CA-100081,2024-12-16,Consumer,East,Office Supplies,Storage,Standard Class,Customer 23,1732.15,5,0.0,259.82
CA-100082,2024-05-24,Consumer,East,Technology,Phones,Second Class,Customer 1,1457.72,3,0.1,174.93
CA-100083,2024-10-14,Corporate,South,Office Supplies,Storage,Same Day,Customer 39,563.97,1,0.3,33.84
CA-100084,2024-09-15,Home Office,East,Furniture,Furnishings,Standard Class,Customer 54,1006.37,6,0.1,120.76
CA-100085,2024-04-21,Home Office,Central,Technology,Machines,First Class,Customer 229,195.05,9,0.2,17.55
CA-100086,2024-04-12,Corporate,South,Technology,Copiers,Second Class,Customer 294,1285.94,3,0.2,115.73
CA-100087,2024-11-03,Consumer,East,Furniture,Chairs,Same Day,Customer 335,1188.04,3,0.1,142.56
CA-100088,2024-05-12,Consumer,South,Furniture,Tables,Same Day,Customer 401,1251.73,1,0.2,112.66
CA-100089,2024-03-09,Corporate,East,Furniture,Chairs,Second Class,Customer 205,1542.46,8,0.3,92.55
CA-100090,2024-04-20,Consumer,Central,Furniture,Bookcases,Same Day,Customer 95,1274.13,3,0.3,76.45
CA-100091,2024-12-25,Consumer,Central,Office Supplies,Art,First Class,Customer 155,294.88,4,0.3,17.69
CA-100092,2024-10-03,Consumer,East,Technology,Copiers,Second Class,Customer 317,1946.76,3,0.0,292.01
CA-100093,2024-08-20,Corporate,East,Furniture,Tables,Standard Class,Customer 78,195.63,5,0.0,29.34
CA-100094,2024-02-16,Consumer,East,Furniture,Bookcases,Same Day,Customer 350,1386.98,9,0.0,208.05
CA-100095,2024-01-26,Consumer,South,Office Supplies,Binders,First Class,Customer 253,1843.33,1,0.0,276.5
CA-100096,2024-01-14,Corporate,South,Office Supplies,Storage,Second Class,Customer 216,1082.45,6,0.3,64.95
CA-100097,2024-01-07,Home Office,Central,Furniture,Bookcases,Second Class,Customer 363,1499.99,8,0.1,180.0
CA-100098,2024-08-14,Home Office,Central,Office Supplies,Art,Standard Class,Customer 119,80.33,6,0.1,9.64
CA-100099,2024-09-29,Home Office,East,Technology,Accessories,Second Class,Customer 300,380.92,9,0.2,34.28
CA-100100,2024-03-08,Corporate,Central,Technology,Phones,Standard Class,Customer 146,1783.24,9,0.3,106.99
CA-100101,2024-04-20,Consumer,South,Office Supplies,Storage,Second Class,Customer 425,1176.71,2,0.1,141.21
CA-100102,2024-11-10,Consumer,East,Technology,Phones,Standard Class,Customer 289,738.9,2,0.1,88.67
CA-100103,2024-04-21,Corporate,Central,Technology,Accessories,Second Class,Customer 350,221.53,6,0.1,26.58
CA-100104,2024-08-30,Home Office,South,Office Supplies,Binders,Same Day,Customer 408,130.19,7,0.0,19.53
CA-100105,2024-11-30,Corporate,East,Office Supplies,Binders,Second Class,Customer 486,1795.29,4,0.3,107.72
CA-100106,2024-01-26,Home Office,West,Office Supplies,Art,Standard Class,Customer 326,1645.31,8,0.1,197.44
CA-100107,2024-08-12,Consumer,South,Furniture,Bookcases,Standard Class,Customer 90,660.88,4,0.2,59.48
CA-100108,2024-11-28,Home Office,Central,Furniture,Chairs,Second Class,Customer 178,591.49,4,0.0,88.72
CA-100109,2024-01-13,Corporate,South,Furniture,Chairs,First Class,Customer 101,1106.23,2,0.1,132.75
CA-100110,2024-02-07,Home Office,Central,Technology,Accessories,First Class,Customer 305,1525.25,8,0.2,137.27
CA-100111,2024-11-29,Consumer,South,Technology,Machines,Standard Class,Customer 418,1664.63,2,0.3,99.88
CA-100112,2024-02-29,Consumer,South,Office Supplies,Storage,Standard Class,Customer 229,151.66,6,0.3,9.1
CA-100113,2024-06-13,Consumer,Central,Furniture,Bookcases,Second Class,Customer 410,1603.08,5,0.2,144.28
CA-100114,2024-10-22,Home Office,South,Furniture,Tables,Same Day,Customer 179,730.48,9,0.0,109.57
CA-100115,2024-06-01,Consumer,West,Technology,Machines,First Class,Customer 450,616.73,1,0.2,55.51
CA-100116,2024-02-08,Home Office,East,Furniture,Tables,First Class,Customer 391,151.91,3,0.3,9.11
CA-100117,2024-01-15,Home Office,West,Office Supplies,Binders,Same Day,Customer 478,683.11,4,0.3,40.99
CA-100118,2024-04-06,Consumer,West,Office Supplies,Storage,First Class,Customer 289,1154.84,6,0.0,173.23
CA-100119,2024-05-02,Corporate,West,Furniture,Tables,Second Class,Customer 397,425.0,5,0.1,51.0
CA-100120,2024-07-02,Home Office,West,Office Supplies,Art,Standard Class,Customer 157,770.07,8,0.0,115.51
CA-100121,2024-04-04,Home Office,Central,Office Supplies,Art,Same Day,Customer 282,829.73,2,0.0,124.46
CA-100122,2024-02-07,Corporate,South,Office Supplies,Storage,First Class,Customer 346,1206.08,8,0.3,72.36
CA-100123,2024-07-28,Consumer,West,Furniture,Bookcases,Same Day,Customer 316,1237.6,8,0.1,148.51
CA-100124,2024-05-12,Consumer,South,Office Supplies,Storage,Second Class,Customer 497,1865.59,4,0.3,111.94
CA-100125,2024-01-29,Corporate,South,Office Supplies,Binders,Second Class,Customer 267,1221.3,3,0.1,146.56
CA-100126,2024-12-11,Corporate,South,Office Supplies,Paper,First Class,Customer 313,263.17,5,0.0,39.47
CA-100127,2024-05-28,Home Office,West,Technology,Phones,Standard Class,Customer 202,1742.39,3,0.2,156.82
CA-100128,2024-03-03,Consumer,East,Technology,Machines,Second Class,Customer 386,29.17,3,0.0,4.38
CA-100129,2024-05-07,Home Office,Central,Office Supplies,Art,First Class,Customer 179,706.97,1,0.1,84.84
