OrderDate,OrderID,SKU,Store,Channel,Units,Sales,DiscountAmt,GrossMarginAmt,ReturnFlag,UnitPrice,DiscountRate
2024-02-02,ORD-00000001,SKU-00058,Store-003,Store,2,111.28,5.86,34.28,0,58.57,0.05
2024-10-10,ORD-00000002,SKU-00087,Store-011,Online,8,189.79,41.27,49.09,0,28.88,0.1786
2024-08-27,ORD-00000003,SKU-00216,Store-022,Store,1,50.7,2.67,11.25,0,53.37,0.05
2024-06-09,ORD-00000004,SKU-00026,Store-013,Store,3,509.88,105.79,101.85,0,205.22,0.1718
2024-06-07,ORD-00000005,SKU-00028,Store-006,Store,5,439.53,23.13,161.11,0,92.53,0.05
2024-11-10,ORD-00000006,SKU-00076,Store-030,Store,8,2533.02,133.32,541.59,0,333.29,0.05
2024-02-01,ORD-00000007,SKU-00151,Store-006,Store,6,913.47,48.08,190.94,0,160.26,0.05
2024-09-12,ORD-00000008,SKU-00202,Store-003,Store,8,1486.57,78.24,329.34,0,195.6,0.05
2024-03-14,ORD-00000009,SKU-00141,Store-012,Online,4,756.92,65.82,227.05,0,205.68,0.08
2024-02-04,ORD-00000010,SKU-00124,Store-004,Store,7,2721.97,143.26,500.25,0,409.32,0.05
2024-07-11,ORD-00000011,SKU-00218,Store-018,Online,3,139.86,45.14,41.47,0,61.67,0.244
2024-12-23,ORD-00000012,SKU-00043,Store-014,Online,2,45.9,3.99,18.1,0,24.94,0.08
2024-09-26,ORD-00000013,SKU-00226,Store-028,Store,8,466.44,175.06,108.38,0,80.19,0.2729
2024-10-05,ORD-00000014,SKU-00079,Store-006,Online,6,466.23,40.54,152.27,0,84.46,0.08
2024-09-19,ORD-00000015,SKU-00069,Store-009,Online,1,53.84,4.68,21.79,0,58.52,0.08
2024-10-14,ORD-00000016,SKU-00239,Store-021,Online,4,209.76,77.83,39.0,0,71.9,0.2706
2024-07-06,ORD-00000017,SKU-00162,Store-021,Store,2,228.46,12.02,71.97,1,120.24,0.05
2024-02-16,ORD-00000018,SKU-00108,Store-011,Online,4,533.46,46.39,161.04,0,144.96,0.08
2024-11-03,ORD-00000019,SKU-00083,Store-028,Store,6,103.55,50.29,29.43,0,25.64,0.3269
2024-06-13,ORD-00000020,SKU-00111,Store-026,Store,2,121.27,62.19,31.85,0,91.73,0.339
2024-07-02,ORD-00000021,SKU-00198,Store-019,Online,8,431.54,37.53,167.61,0,58.63,0.08
2024-05-15,ORD-00000022,SKU-00039,Store-023,Online,8,904.15,78.62,247.91,0,122.85,0.08
2024-03-07,ORD-00000023,SKU-00044,Store-017,Store,6,943.88,49.68,173.38,0,165.59,0.05
2024-12-05,ORD-00000024,SKU-00077,Store-015,Store,3,330.0,84.43,61.0,0,138.14,0.2037
2024-10-13,ORD-00000025,SKU-00121,Store-017,Online,2,1178.05,102.44,211.64,0,640.24,0.08
2024-08-23,ORD-00000026,SKU-00204,Store-026,Store,7,667.43,35.13,241.5,0,100.37,0.05
2024-05-27,ORD-00000027,SKU-00053,Store-001,Store,4,1699.75,89.46,304.5,1,447.3,0.05
2024-10-28,ORD-00000028,SKU-00197,Store-004,Store,1,111.54,5.87,16.16,0,117.41,0.05
2024-07-18,ORD-00000029,SKU-00227,Store-015,Store,4,94.89,16.33,39.4,0,27.8,0.1468
2024-06-11,ORD-00000030,SKU-00109,Store-018,Store,7,4030.68,212.14,883.68,0,606.12,0.05
2024-06-13,ORD-00000031,SKU-00241,Store-006,Online,6,236.66,20.58,59.3,1,42.87,0.08
2024-03-24,ORD-00000032,SKU-00224,Store-019,Store,7,760.27,165.09,204.85,0,132.19,0.1784
2024-02-03,ORD-00000033,SKU-00200,Store-001,Store,6,1159.91,61.05,214.77,0,203.49,0.05
2024-07-21,ORD-00000034,SKU-00096,Store-008,Store,3,369.49,19.45,76.39,0,129.65,0.05
